area,construction_type,region,cimento,areia,tijolos
34.2,residential,urban,7.4,20.8,1.984
17.6,residential,urban,3.7,12.6,1.048
265.5,residential,urban,57.4,168.1,16.786
165.1,commercial,urban,31.6,96.8,12.227
100.3,residential,urban,21.6,63.2,6.694
205.2,commercial,suburban,42.2,137.6,13.394
162.8,residential,rural,32.5,101.3,8.271
20.6,residential,suburban,3.7,14.4,1.328
223.1,commercial,suburban,51.0,117.4,17.507
77.5,residential,suburban,16.3,45.5,4.594
164.7,residential,suburban,31.8,114.2,10.073
226.4,commercial,urban,50.3,111.5,15.676
38.3,residential,urban,7.9,18.6,2.573
11.7,commercial,rural,2.5,5.7,0.848
25.9,commercial,urban,5.6,18.4,1.85
55.7,residential,urban,10.4,33.0,3.473
170.4,residential,suburban,31.0,94.8,9.657
197.1,residential,rural,40.3,130.7,10.545
1.0,commercial,suburban,0.2,0.6,0.074
71.5,commercial,suburban,15.3,48.0,5.286
54.0,commercial,rural,10.6,36.1,3.854
25.1,commercial,suburban,5.2,12.1,1.833
12.8,residential,urban,2.6,8.4,0.732
41.2,residential,rural,8.1,25.4,2.524
286.3,commercial,suburban,62.2,166.0,21.916
39.0,commercial,urban,8.1,25.6,2.942
73.1,residential,suburban,13.6,52.4,4.343
121.4,industrial,suburban,24.8,86.9,10.967
45.2,commercial,urban,9.3,24.7,3.289
356.8,commercial,urban,78.3,184.6,26.203
328.2,residential,rural,63.6,159.6,18.345
29.0,residential,rural,5.4,17.2,1.602
68.8,industrial,urban,15.4,41.5,6.263
35.8,residential,urban,7.7,25.6,2.18
33.5,commercial,suburban,7.1,19.3,2.326
3.8,industrial,rural,0.8,2.1,0.337
94.0,residential,rural,17.1,58.4,5.699
69.9,commercial,urban,13.3,39.2,4.987
5.3,residential,suburban,1.0,2.9,0.345
32.7,commercial,suburban,6.7,22.7,2.154
238.9,residential,urban,46.9,163.2,16.352
27.4,commercial,urban,5.5,15.5,2.153
15.7,residential,urban,3.3,8.6,0.953
67.2,residential,suburban,12.8,40.4,4.01
424.4,residential,rural,85.8,275.6,23.795
27.7,residential,suburban,5.0,15.5,1.696
111.5,commercial,urban,21.9,68.0,7.66
143.4,commercial,urban,30.4,94.2,10.73
27.1,commercial,urban,6.2,18.7,1.965
130.3,commercial,urban,26.4,89.4,9.569
45.9,industrial,urban,9.2,27.6,3.925
100.1,residential,urban,18.2,58.4,6.564
100.4,residential,urban,21.9,70.6,6.848
76.7,residential,urban,14.0,42.8,4.59
9.5,residential,suburban,1.8,6.4,0.556
180.4,residential,suburban,36.6,99.1,11.114
38.7,residential,rural,8.3,24.8,2.252
20.6,residential,rural,4.4,14.7,1.131
4.2,commercial,suburban,0.9,2.5,0.282
89.4,commercial,urban,19.6,58.6,6.226
113.2,residential,suburban,21.6,58.6,6.891
1.7,commercial,suburban,0.4,1.1,0.129
71.8,residential,rural,15.4,45.0,3.815
25.7,commercial,rural,5.8,17.9,1.9
103.6,residential,rural,22.0,55.7,5.886
19.2,residential,suburban,3.5,12.1,1.124
117.4,residential,urban,22.0,79.1,7.649
48.9,residential,suburban,10.6,28.7,3.049
276.0,residential,rural,50.2,154.2,15.599
14.8,commercial,suburban,3.0,9.7,0.965
41.7,residential,suburban,7.7,21.2,2.446
12.0,industrial,suburban,2.7,8.7,1.045
258.6,commercial,urban,51.4,184.4,20.911
209.8,residential,urban,42.7,140.4,13.826
29.8,commercial,urban,5.9,16.4,2.073
107.9,commercial,rural,22.1,73.5,8.156
169.9,residential,rural,31.6,89.5,10.351
81.0,commercial,urban,15.8,54.9,6.09
75.4,industrial,urban,15.5,45.2,7.33
27.7,commercial,urban,5.6,19.6,1.941
9.8,industrial,suburban,2.1,6.7,0.89
227.5,commercial,urban,48.0,155.9,18.551
230.7,commercial,urban,50.4,129.1,18.983
100.3,residential,suburban,19.8,54.6,5.687
41.4,residential,urban,7.9,21.1,2.375
43.0,commercial,suburban,8.9,27.3,2.897
129.4,industrial,urban,28.8,80.6,13.006
227.4,residential,urban,46.1,119.4,12.956
218.1,commercial,rural,47.0,157.0,13.71
151.4,commercial,rural,32.3,99.8,9.921
102.7,residential,rural,21.4,55.0,5.379
8.8,commercial,suburban,1.8,5.4,0.687
17.6,industrial,urban,4.0,12.5,1.603
228.8,commercial,urban,48.5,158.4,18.072
93.2,residential,urban,18.7,58.5,5.964
1.0,industrial,urban,0.2,0.6,0.086
10.7,residential,urban,2.0,7.3,0.673
108.9,residential,suburban,20.0,60.5,6.365
1.0,residential,urban,0.2,0.6,0.059
17.5,residential,urban,3.3,11.2,1.085
79.6,commercial,suburban,16.9,47.4,6.105
117.7,residential,urban,25.4,64.1,7.672
105.5,residential,suburban,19.2,59.7,5.926
25.4,residential,suburban,5.5,17.0,1.396
124.5,residential,rural,23.5,85.2,7.117
27.1,industrial,urban,5.5,14.2,2.699
39.4,commercial,rural,7.6,22.8,2.961
137.2,commercial,rural,31.5,66.9,8.493
104.9,residential,urban,23.0,61.8,6.55
189.2,residential,urban,41.5,119.1,11.841
107.2,commercial,urban,23.5,67.8,7.933
84.0,industrial,urban,18.9,44.7,8.549
9.8,residential,urban,1.8,5.0,0.572
45.8,residential,rural,9.7,28.8,2.324
30.8,residential,urban,6.7,21.8,2.029
28.0,commercial,urban,5.3,14.7,2.16
361.2,residential,suburban,76.0,246.6,23.441
49.9,commercial,urban,10.6,28.6,3.596
222.6,residential,rural,43.2,155.3,12.331
99.7,commercial,rural,22.5,58.4,7.33
158.4,residential,urban,32.5,78.1,10.54
69.8,residential,rural,13.0,47.1,4.186
86.0,residential,suburban,16.5,61.8,5.118
67.8,residential,urban,12.6,43.8,4.049
21.7,commercial,suburban,4.2,14.7,1.652
128.2,residential,urban,23.2,71.0,8.771
33.0,industrial,suburban,7.5,23.1,2.871
2.5,industrial,suburban,0.6,1.3,0.229
103.7,commercial,suburban,20.6,67.5,8.0
19.5,industrial,suburban,4.4,12.9,1.779
282.1,commercial,urban,57.5,146.7,21.215
307.8,residential,urban,58.0,168.1,21.156
246.4,commercial,urban,48.9,141.8,19.645
46.2,residential,urban,9.0,29.9,2.919
1.6,commercial,urban,0.3,1.0,0.13
263.6,residential,urban,48.4,152.6,17.716
55.9,commercial,urban,10.7,31.8,4.592
340.1,commercial,urban,67.2,241.8,26.418
331.4,residential,suburban,61.4,180.2,21.368
191.7,commercial,urban,39.7,128.8,13.558
34.9,commercial,suburban,7.2,24.4,2.295
48.6,residential,suburban,10.4,33.7,2.684
190.5,residential,urban,36.4,136.6,12.321
38.1,residential,rural,7.8,21.9,2.154
18.6,commercial,urban,4.0,12.1,1.532
81.4,residential,urban,17.4,56.4,4.863
275.1,residential,urban,52.3,158.6,16.485
119.1,residential,suburban,23.0,75.4,7.277
84.4,commercial,urban,17.8,53.1,6.839
10.2,commercial,suburban,2.1,6.3,0.73
95.5,commercial,rural,18.9,67.3,6.327
461.1,commercial,suburban,90.3,301.3,33.052
15.1,commercial,urban,3.3,8.3,1.233
73.0,residential,urban,15.8,48.1,4.551
209.9,residential,urban,39.8,146.5,12.602
135.0,residential,suburban,28.9,82.0,7.752
119.4,residential,rural,24.2,69.7,6.503
121.2,residential,rural,26.0,59.6,6.933
44.5,commercial,urban,9.8,22.2,3.351
34.8,commercial,urban,7.4,21.2,2.857
165.7,residential,urban,33.9,109.1,10.437
166.1,residential,suburban,35.1,118.6,10.266
201.8,residential,urban,38.7,138.4,11.985
244.5,residential,suburban,51.9,172.3,14.169
71.6,residential,suburban,15.5,39.7,4.359
69.6,residential,urban,15.2,49.0,3.954
160.1,residential,urban,34.4,80.4,9.124
105.0,residential,urban,22.5,54.9,6.502
121.1,commercial,suburban,26.7,76.2,7.949
158.9,residential,urban,33.2,99.0,10.193
220.7,residential,rural,46.6,124.9,13.062
41.2,residential,urban,7.8,26.8,2.665
47.1,residential,suburban,9.6,30.3,2.726
9.9,commercial,rural,2.0,4.9,0.727
86.3,residential,urban,18.2,52.5,5.692
3.7,residential,suburban,0.8,2.4,0.239
62.7,commercial,suburban,14.3,36.6,4.331
78.2,residential,urban,17.0,54.9,5.23
33.8,residential,suburban,7.4,18.8,2.151
89.4,commercial,urban,17.0,49.2,6.614
3.1,industrial,urban,0.7,1.8,0.262
3.8,residential,urban,0.8,2.3,0.255
172.9,residential,suburban,32.9,90.2,10.193
44.7,residential,rural,8.9,25.1,2.681
13.6,residential,urban,2.8,9.1,0.807
73.9,residential,urban,14.9,50.2,4.757
147.0,commercial,rural,33.7,101.9,9.913
24.3,residential,urban,4.9,16.9,1.474
97.5,residential,urban,19.0,59.2,6.087
8.9,commercial,urban,1.9,6.0,0.656
5.3,residential,urban,1.0,3.7,0.304
75.8,commercial,urban,15.0,39.3,5.785
77.8,commercial,suburban,15.0,53.6,5.171
101.5,residential,rural,20.8,56.0,5.981
129.5,commercial,urban,24.6,79.3,10.012
372.4,commercial,urban,76.3,195.6,25.226
72.6,commercial,urban,14.1,41.4,5.266
39.0,residential,rural,8.5,20.0,2.003
158.6,commercial,urban,30.8,83.5,12.118
31.6,commercial,urban,6.4,18.6,2.233
57.8,residential,urban,12.3,28.0,3.514
8.2,commercial,urban,1.7,5.4,0.643
2.6,industrial,urban,0.6,1.8,0.262
328.7,commercial,urban,69.7,191.2,25.984
180.8,commercial,urban,37.9,117.8,13.056
119.1,commercial,urban,26.2,72.0,8.394
52.6,residential,urban,11.0,29.1,3.051
19.0,residential,urban,4.1,12.8,1.093
17.0,residential,urban,3.1,11.8,0.999
28.8,industrial,rural,6.8,17.7,2.346
79.7,commercial,rural,15.7,57.3,4.937
125.4,residential,suburban,26.8,66.9,7.044
107.9,residential,urban,22.7,59.8,7.048
32.8,commercial,suburban,6.6,18.3,2.424
309.8,residential,rural,58.3,198.0,15.906
133.9,industrial,urban,27.2,90.3,13.005
80.8,residential,suburban,15.0,43.5,5.184
94.6,commercial,urban,20.9,45.7,6.759
54.4,residential,urban,11.2,27.7,3.643
28.5,residential,suburban,6.1,20.3,1.569
44.0,residential,urban,8.5,31.0,2.775
141.8,commercial,rural,30.5,72.9,10.348
1.4,residential,suburban,0.3,0.7,0.08
12.3,residential,suburban,2.4,6.9,0.725
4.7,residential,suburban,0.9,2.3,0.307
4.2,commercial,urban,1.0,2.4,0.299
193.4,residential,urban,39.9,132.8,12.882
121.6,residential,urban,25.5,86.7,7.285
64.3,residential,suburban,12.1,40.9,3.822
10.3,commercial,urban,2.1,5.5,0.823
67.7,industrial,urban,13.8,37.4,5.896
64.1,commercial,rural,13.9,44.8,4.016
19.0,industrial,rural,4.2,13.0,1.486
56.9,commercial,suburban,10.9,32.2,4.375
50.8,residential,urban,10.1,25.3,2.881
95.7,commercial,suburban,19.6,51.9,6.313
100.8,residential,suburban,20.5,53.6,6.301
4.6,residential,suburban,0.9,2.9,0.286
46.9,residential,urban,9.6,32.4,3.134
98.3,commercial,suburban,20.5,66.3,6.594
69.9,commercial,suburban,14.6,35.3,5.246
194.1,residential,suburban,38.3,115.2,12.057
107.5,commercial,rural,20.3,77.2,7.101
17.8,residential,urban,3.3,9.2,1.171
7.3,industrial,rural,1.7,4.9,0.612
102.8,industrial,urban,24.2,75.1,9.484
2.7,commercial,rural,0.6,1.8,0.177
88.1,commercial,suburban,17.3,60.4,6.46
281.7,industrial,urban,56.0,182.1,28.166
85.7,residential,urban,16.4,57.8,5.403
49.1,commercial,suburban,10.9,26.5,3.188
103.1,residential,suburban,19.4,68.0,5.625
61.3,residential,suburban,12.0,31.2,3.516
78.9,residential,suburban,16.7,55.9,4.942
283.8,commercial,urban,58.4,148.0,22.045
48.8,residential,rural,9.8,27.1,2.67
324.9,residential,urban,69.7,160.0,20.598
235.8,residential,suburban,49.8,150.2,15.12
21.8,residential,suburban,4.7,11.9,1.284
7.2,commercial,rural,1.4,3.5,0.503
10.6,residential,urban,2.0,7.1,0.681
1.8,commercial,urban,0.4,1.1,0.136
9.9,residential,urban,1.9,6.5,0.62
114.9,residential,suburban,23.2,59.7,6.768
7.4,commercial,suburban,1.6,3.9,0.486
38.4,residential,urban,8.4,20.0,2.619
186.4,commercial,rural,37.3,112.7,12.654
2.4,residential,suburban,0.4,1.4,0.145
168.5,commercial,rural,34.2,87.1,11.636
33.1,residential,rural,6.6,16.3,1.678
12.6,residential,suburban,2.5,6.3,0.751
119.3,industrial,rural,25.1,89.0,9.954
99.1,residential,suburban,19.1,69.4,5.864
209.9,residential,rural,39.8,123.5,11.743
132.8,residential,urban,28.8,88.0,7.548
162.7,residential,urban,34.2,85.0,10.835
33.1,residential,urban,6.0,23.6,2.134
19.5,commercial,suburban,3.7,9.6,1.279
138.9,residential,rural,25.6,81.2,7.129
164.4,residential,urban,31.7,81.0,11.297
465.7,residential,urban,86.2,303.8,27.062
53.2,residential,suburban,10.1,29.2,3.461
46.5,residential,suburban,9.4,25.9,2.946
149.8,residential,urban,28.0,74.5,9.839
41.7,residential,suburban,8.0,29.2,2.551
267.0,commercial,urban,55.8,151.2,18.875
195.5,residential,urban,41.6,129.5,13.158
56.0,residential,urban,11.4,29.3,3.5
139.0,residential,urban,26.6,67.2,9.501
140.5,residential,urban,28.2,71.6,8.449
10.9,residential,urban,2.1,6.6,0.664
232.8,commercial,suburban,51.2,122.2,16.641
70.4,commercial,urban,16.1,44.7,5.007
175.1,commercial,urban,39.4,102.8,12.813
38.6,residential,urban,7.8,25.6,2.374
225.9,residential,suburban,41.5,114.9,13.286
49.3,industrial,rural,11.2,29.9,3.853
1.1,commercial,urban,0.2,0.6,0.076
235.8,industrial,rural,48.2,175.7,18.197
9.6,residential,suburban,1.9,5.6,0.614
38.5,commercial,suburban,7.8,26.3,2.531
299.7,residential,rural,65.5,163.6,15.812
300.8,commercial,urban,63.0,157.3,21.648
85.2,residential,urban,15.5,51.5,5.146
99.9,residential,suburban,18.5,68.5,5.852
59.5,industrial,urban,13.6,34.2,5.322
34.7,residential,rural,7.0,22.0,1.975
39.8,commercial,rural,8.7,23.7,2.64
111.6,residential,urban,20.8,54.9,6.67
139.6,residential,rural,27.9,76.0,8.499
156.8,residential,suburban,33.8,110.7,10.237
155.9,residential,urban,32.5,91.0,8.779
9.6,commercial,urban,2.1,6.7,0.769
68.2,residential,suburban,13.6,43.2,4.135
5.9,residential,suburban,1.1,4.2,0.342
79.7,commercial,rural,15.3,42.1,5.83
58.3,residential,suburban,11.7,39.8,3.5
218.7,residential,urban,40.5,155.3,12.304
43.2,commercial,urban,9.8,24.6,2.941
12.5,residential,rural,2.6,7.2,0.762
15.4,commercial,suburban,3.0,8.3,1.075
143.3,residential,rural,28.3,77.8,7.933
96.3,industrial,suburban,20.9,64.2,8.678
10.7,industrial,urban,2.3,7.2,0.982
8.8,commercial,urban,2.0,5.2,0.697
120.7,residential,urban,23.5,74.6,8.177
7.6,commercial,rural,1.7,4.2,0.478
172.5,commercial,suburban,32.7,117.7,12.074
122.5,residential,rural,22.7,85.0,6.848
8.5,residential,urban,1.8,4.2,0.578
8.9,residential,rural,1.9,4.7,0.545
431.5,residential,rural,90.4,281.8,25.141
46.9,residential,urban,9.5,31.5,2.825
46.3,commercial,suburban,9.2,24.7,3.61
167.6,residential,urban,32.7,107.8,11.038
294.2,residential,urban,60.3,189.5,18.89
426.9,commercial,rural,86.6,286.6,31.923
140.0,residential,suburban,30.7,74.0,8.969
47.2,commercial,urban,10.7,33.7,3.827
8.7,industrial,rural,1.7,4.7,0.754
150.1,commercial,suburban,33.4,84.5,10.98
81.7,residential,suburban,15.2,53.7,5.306
55.2,industrial,suburban,11.3,36.6,4.375
236.8,residential,urban,49.2,132.2,13.812
11.8,residential,urban,2.5,8.4,0.802
67.9,residential,suburban,14.1,38.0,4.313
1.1,residential,urban,0.2,0.6,0.074
63.2,residential,suburban,11.4,40.9,3.642
5.8,commercial,urban,1.1,2.9,0.397
12.6,residential,suburban,2.3,7.4,0.718
12.5,residential,suburban,2.7,7.6,0.777
104.8,commercial,urban,22.8,73.3,8.098
137.1,residential,rural,25.2,70.4,7.171
87.6,commercial,suburban,19.8,54.6,6.062
327.5,commercial,urban,64.9,177.4,22.247
47.0,residential,suburban,8.5,26.1,2.59
33.6,residential,rural,7.2,17.9,1.779
203.0,residential,suburban,36.6,131.2,11.715
25.3,residential,urban,5.6,13.8,1.53
330.3,residential,suburban,68.5,228.3,20.082
1.2,residential,rural,0.2,0.6,0.067
350.3,commercial,urban,67.6,195.0,25.85
4.4,residential,suburban,0.8,3.0,0.244
221.8,residential,urban,47.7,148.6,14.179
75.0,commercial,suburban,16.0,50.3,5.541
495.7,residential,suburban,91.6,298.1,32.206
7.7,residential,rural,1.4,4.2,0.438
80.7,residential,urban,16.1,51.7,4.579
348.4,residential,urban,73.5,175.3,22.022
74.0,commercial,urban,16.0,37.2,5.232
99.3,residential,urban,21.2,65.4,5.891
119.0,residential,urban,22.7,84.3,7.89
60.6,industrial,urban,12.8,31.7,5.829
98.8,residential,urban,19.2,54.1,6.582
87.8,industrial,suburban,19.3,51.8,7.505
231.4,commercial,urban,51.9,132.3,17.944
4.7,industrial,suburban,1.0,2.8,0.445
33.0,commercial,suburban,7.0,23.2,2.5
300.4,industrial,rural,59.7,187.0,26.035
221.0,residential,rural,40.1,143.7,13.272
60.8,commercial,rural,13.3,36.5,4.045
96.8,residential,urban,20.8,57.1,5.722
32.5,industrial,urban,6.6,21.6,3.014
20.8,residential,urban,4.0,12.8,1.304
62.3,commercial,rural,13.1,32.9,4.509
43.6,residential,urban,8.0,27.0,2.599
87.6,commercial,urban,16.9,61.5,6.327
8.1,residential,urban,1.5,4.7,0.514
366.5,industrial,urban,77.9,257.6,31.061
428.4,commercial,urban,84.7,247.3,29.605
119.8,industrial,suburban,25.1,62.6,9.494
76.8,residential,urban,16.1,50.3,5.148
37.0,residential,suburban,6.8,21.2,2.118
168.1,residential,urban,35.1,100.1,11.151
115.4,residential,suburban,20.8,61.2,7.382
17.7,residential,suburban,3.6,8.7,1.052
241.8,residential,rural,50.2,150.2,14.446
172.9,commercial,urban,35.2,87.5,12.501
299.2,residential,urban,62.5,155.7,20.285
129.4,residential,urban,23.6,89.3,8.621
95.0,commercial,urban,18.6,60.7,6.647
54.2,residential,urban,10.2,33.2,3.72
269.9,residential,urban,53.2,161.9,18.441
201.0,residential,rural,40.6,125.0,11.549
4.6,commercial,rural,0.9,2.8,0.299
2.7,commercial,rural,0.6,1.7,0.175
47.2,commercial,urban,9.2,30.6,3.238
166.4,industrial,urban,38.6,108.2,15.304
436.4,residential,rural,94.9,231.3,22.777
16.3,residential,urban,3.3,11.6,0.985
90.2,commercial,urban,18.0,50.3,6.316
47.9,industrial,urban,11.5,24.4,4.043
350.4,commercial,urban,80.5,198.8,25.352
184.6,residential,suburban,39.1,123.5,10.944
182.2,residential,urban,36.9,95.9,11.901
63.2,residential,rural,12.9,30.3,3.661
53.6,residential,urban,10.5,36.0,3.508
31.9,residential,urban,6.6,22.1,1.952
5.8,residential,urban,1.1,3.6,0.344
200.0,commercial,suburban,38.4,109.5,15.777
167.6,commercial,rural,34.5,113.4,12.091
500.0,commercial,rural,102.5,298.3,32.806
500.0,residential,urban,91.9,289.3,32.219
81.1,residential,urban,17.3,57.9,4.752
146.5,commercial,urban,33.0,88.4,9.925
289.6,residential,urban,59.9,169.2,18.403
189.5,residential,suburban,38.5,108.4,11.627
28.4,residential,urban,6.2,18.5,1.6
59.9,commercial,urban,12.1,31.0,4.299
13.8,commercial,rural,2.8,7.6,0.969
308.0,commercial,urban,68.1,215.3,25.265
93.2,residential,urban,17.1,45.2,5.528
26.0,residential,suburban,4.7,16.3,1.541
111.4,industrial,urban,22.8,75.1,11.425
96.3,commercial,suburban,18.5,49.0,7.54
44.3,commercial,urban,9.7,21.8,3.395
12.1,commercial,urban,2.4,8.2,0.92
111.3,industrial,suburban,24.2,61.7,9.778
73.5,residential,urban,16.0,48.6,4.993
148.0,residential,rural,30.1,106.3,8.592
73.4,residential,rural,14.8,52.1,3.882
191.2,industrial,urban,38.6,143.6,16.241
80.3,residential,urban,16.2,38.7,5.176
82.3,residential,suburban,16.6,54.5,5.069
209.3,commercial,suburban,46.1,126.2,13.609
51.7,industrial,urban,10.9,36.4,4.653
14.4,residential,urban,2.6,8.3,0.888
2.9,commercial,urban,0.6,1.9,0.213
140.7,industrial,suburban,29.4,94.7,12.194
96.8,residential,urban,19.9,59.3,6.371
121.8,residential,urban,24.0,74.7,6.976
23.9,residential,urban,5.1,16.7,1.617
14.7,commercial,rural,3.3,9.1,1.093
1.5,residential,urban,0.3,0.9,0.1
43.2,commercial,suburban,9.2,24.1,3.274
89.1,residential,urban,16.3,63.5,5.214
49.8,commercial,urban,10.4,25.6,3.722
57.5,commercial,urban,12.1,35.5,4.083
234.5,commercial,urban,52.3,122.6,16.609
42.8,residential,rural,8.1,30.5,2.597
72.2,commercial,urban,14.4,51.3,5.125
153.1,residential,suburban,30.4,89.1,9.015
50.5,commercial,suburban,11.3,32.7,3.36
97.3,residential,rural,21.2,59.2,5.22
198.3,commercial,urban,41.5,133.2,15.206
298.6,residential,urban,64.2,154.5,16.977
15.9,residential,suburban,3.0,8.6,0.967
261.2,residential,urban,51.6,172.0,16.434
67.8,residential,urban,13.5,39.8,4.018
29.9,residential,urban,6.5,14.5,1.975
61.5,commercial,urban,12.0,37.4,4.51
391.4,residential,urban,77.3,266.5,22.687
67.8,residential,urban,14.9,43.5,3.816
39.9,residential,urban,8.5,28.1,2.312
100.3,residential,urban,20.5,64.9,6.814
27.5,commercial,urban,5.9,16.8,2.225
7.9,residential,rural,1.4,5.1,0.415
13.8,residential,suburban,2.8,9.0,0.804
13.7,residential,urban,3.0,8.4,0.87
16.5,residential,urban,3.5,8.7,0.934
14.9,residential,urban,3.1,9.5,0.936
102.4,residential,urban,21.4,59.7,7.035
20.1,residential,rural,3.7,12.5,1.126
42.4,residential,rural,8.1,23.7,2.291
227.1,commercial,urban,51.4,159.3,18.184
64.2,commercial,rural,14.2,38.7,4.329
110.1,commercial,urban,24.2,77.4,8.383
18.9,commercial,urban,4.1,12.0,1.289
21.4,residential,urban,4.0,11.6,1.249
4.2,residential,urban,0.8,2.2,0.262
18.5,residential,suburban,4.1,11.8,1.167
32.7,residential,suburban,6.5,18.4,1.973
19.5,residential,suburban,4.2,13.1,1.249
9.3,industrial,urban,1.9,4.9,0.811
12.9,commercial,suburban,2.8,6.6,0.839
61.8,residential,urban,13.2,33.4,3.856
23.1,residential,urban,4.3,14.8,1.385
45.3,residential,rural,8.3,29.5,2.596
70.0,residential,urban,13.1,50.2,4.623
117.2,residential,urban,25.0,64.1,7.408
4.0,commercial,rural,0.9,2.2,0.298
160.6,residential,rural,34.0,101.6,8.953
98.9,residential,suburban,18.1,65.2,5.749
8.5,residential,rural,1.8,5.8,0.451
